universe,sizing,mode,days,trades,final,sha256
nifty100,invvol,none,1836,773,5461733.567125756,5c71c906419f0f98843927499ee554ca7e70decd666cc89c91dd4515ac21b40e
nifty100,invvol,breadth,1836,940,3628639.832638635,a902c52d417fa9f580874f354f5220bc431e09248c72988b988b6676deabe537
nifty100,provol,none,1836,716,5970524.872530681,13d3b74eef3ba545714ea4ea51c85a7df2eced13548660b539b028963543d6db
nifty100,provol,breadth,1836,934,4187801.563027191,63a4083db5ce61065b677d2898b0a0bd8c0f54eecea4ea9077047c805f5ffd75
midcap150,invvol,none,1836,850,10209897.058400666,98b91ab4dab1f901966c1e4fa17bd7cffacfbe49b0b92fdf6d4857ae78cf1f40
midcap150,invvol,breadth,1836,1006,6150398.557078531,a18c8094a023028c3859c55d884b169add3828559de9d0ea3cfd79d89cb420ff
midcap150,provol,none,1836,814,11945809.946971783,5f89bf1a4dccd9452516e884a39806fd52caead779aa84cf6c25895b16bc8e2f
midcap150,provol,breadth,1836,1002,8840521.942529893,ea96e5ef78c1bc60f8859ee1831d393aa2239d85eca3efc36ec12ef0bb2850fb
