old,new,effective,circular,names
KPIGLOBAL,KPIGREEN,2022-04-27,CML52068.pdf,K.P.I. Global Infrastructure KPI Green Energy Limited
HSIL,AGI,2022-05-11,CML52200.pdf,HSIL Limited AGI Greenpac Limited
MOTHERSUMI,MOTHERSON,2022-06-09,CML52507.pdf,Motherson Sumi Systems Samvardhana Motherson
CEBBCO,JWL,2022-06-20,CML52616.pdf,Commercial Engineers & Jupiter Wagons Limited
SHIL,HINDWAREAP,2022-06-21,CML52630.pdf,Somany Home Hindware Home Innovation
ZUARIGLOB,ZUARIIND,2022-07-04,CML52756.pdf,Zuari Global Limited Zuari Industries Limited
RUCHI,PATANJALI,2022-07-13,CML52890.pdf,Ruchi Soya Industries Limited Patanjali Foods Limited
TMRVL,HEADSUP,2022-07-18,CML52946.pdf,The Mandhana Retail Heads UP Ventures Limited
COSMOFILMS,COSMOFIRST,2022-07-25,CML53014.pdf,Cosmo Films Limited COSMO FIRST LIMITED
NBVENTURES,NAVA,2022-07-29,CML53058.pdf,Nava Bharat Ventures NAVA LIMITED
MINDAIND,UNOMINDA,2022-08-05,CML53163.pdf,Minda Industries Limited UNO Minda Limited
MODISNME,MODISN,2022-08-16,CML53242.pdf,Modison Metals Limited MODISON LIMITED
MODISNME,MODISONLTD,2022-08-16,CML53251.pdf,Modison Metals Limited MODISON LIMITED
DHANVARSHA,TRU,2022-09-01,CML53469.pdf,Dhanvarsha Finvest Limited TruCap Finance Limited
DHARAMSI,DMCC,2022-11-02,CML54206.pdf,The Dharamsi Morarji Chemical DMCC SPECIALITY
ACRYSIL,CARYSIL,2022-11-18,CML54419.pdf,Acrysil Limited CARYSIL LIMITED
JTLINFRA,JTLIND,2022-11-21,CML54444.pdf,JTL Infra Limited JTL INDUSTRIES LIMITED
HOTELRUGBY,UNIVAFOODS,2022-11-23,CML54485.pdf,Hotel Rugby Limited Univa Foods Limited
LTI,LTIM,2022-12-05,CML54604.pdf,Larsen & Toubro Infotech LTIMindtree Limited
SRTRANSFIN,SHRIRAMFIN,2022-12-20,CML54812.pdf,Shriram Transport Finance Shriram Finance Limited
WFL,WEL,2023-01-04,CML55020.pdf,Wonder Fibromats Limited Wonder Electricals Limited
AAL,ARIHANTACA,2023-01-02,CML55068.pdf,Arihant Academy Limited
INEOSSTYRO,STYRENIX,2023-01-20,CML55256.pdf,INEOS Styrolution India Styrenix Performance
IIFLWAM,360ONE,2023-01-23,CML55278.pdf,IIFL Wealth Management 360 ONE WAM LIMITED
CLNINDIA,HEUBACHIND,2023-03-10,CML55860.pdf,Clariant Chemicals (India) Heubach Colorants India
NXTDIGITAL,NDLVENTURE,2023-05-09,CML56580.pdf,NXTDIGITAL LIMITED NDL Ventures Limited
PVR,PVRINOX,2023-05-12,CML56638.pdf,PVR Limited PVR INOX Limited
BINDALAGRO,OSWALGREEN,2023-05-19,CML56714.pdf,Oswal Chemicals & Oswal Greentech Limited
KALPATPOWR,KPIL,2023-06-06,CML56896.pdf,Kalpataru Power Kalpataru Projects
MAHINDCIE,CIEINDIA,2023-06-19,CML57090.pdf,Mahindra CIE Automotive CIE Automotive India
AML,ASHOKAMET,2023-06-27,CML57282.pdf,Ashoka Metcast Limited
STAMPEDE,GATECH,2023-07-14,CML57501.pdf,Stampede Capital Limited GACM Technologies Limited
EHFLNCD,NIDO,2023-07-18,CML57522.pdf,Nido Home Finance Limited
UCALFUEL,UCAL,2023-07-26,CML57638.pdf,Ucal Fuel Systems Limited UCAL LIMITED
4THDIM,GVPTECH,2023-07-31,CML57688.pdf,GVP Infotech Limited
ORIENTABRA,ORIENTCER,2023-07-31,CML57692.pdf,Orient Abrasives Limited ORIENT CERATECH
PROZONINTU,PROZONER,2023-08-04,CML57775.pdf,Prozone Intu Properties Limited Prozone Realty Limited
SCAPDVR,GATECHDVR,2023-08-08,CML57795.pdf,Stampede Capital Limited
SUNCLAYLTD,TVSHLTD,2023-08-10,CML57861.pdf,Sundaram Clayton Limited TVS Holdings Limited
SEPOWER,SAMPANN,2023-08-23,CML58006.pdf,S.E. Power Limited Sampann Utpadan India Limited
ADANITRANS,ADANIENSOL,2023-08-24,CML58016.pdf,Adani Transmission Adani Energy Solutions
MFL,EPIGRAL,2023-09-11,CML58238.pdf,Meghmani Finechem Limited Epigral Limited
KEERTI,GTECJAINX,2023-09-12,CML58268.pdf,Keerti Knowledge G-TEC JAINX EDUCATION
REVATHI,SEMAC,2023-09-21,CML58395.pdf,Revathi Equipment Limited SEMAC CONSULTANTS
LSIL,LLOYDSENGG,2023-10-16,CML58835.pdf,Lloyds Steels Industries LLOYDS ENGINEERING
GISOLUTION,TPHQ,2023-10-20,CML58953.pdf,GI Engineering Teamo Productions HQ Limited
AMARAJABAT,ARE&M,2023-10-27,CML59037.pdf,Amara Raja Batteries Amara Raja Energy &
DAAWAT,LTFOODS,2023-11-06,CML59161.pdf,LT Foods Limited
SONAMCLOCK,SONAMLTD,2023-11-15,CML59300.pdf,Sonam Clock Limited SONAM LIMITED
GATI,ACLGATI,2023-11-30,CML59502.pdf,GATI Limited Allcargo Gati Limited
SONAHISONA,GOLDKART,2023-12-01,CML59508.pdf,Sona Hi Sona Jewellers Goldkart Jewels Limited
WELSPUNIND,WELSPUNLIV,2023-12-14,CML59625.pdf,Welspun India Limited Welspun Living Limited
ATLANTA,ATLANTAA,2023-12-15,CML59697.pdf,Atlanta Limited ATLANTAA LIMITED
DSP,NIFTY,2024-02-15,CML60631.pdf,IT ETF INF740KA1SX1 DSPITETF ITETFADD
DSP,S&P,2024-02-15,CML60631.pdf,BSE Sensex ETF INF740KA1SZ6 DSPSENXETF SENSEXADD
PLATINUM,PLATIND,,CML60977.pdf,Platinum Industries Limited
L&TFH,LTF,2024-04-23,CML61613.pdf,L&T Finance Holdings Limited L&T Finance Limited
IBULHSGFIN,SAMMAANCAP,2024-07-26,CML63024.pdf,Indiabulls Housing Finance Limited Sammaan Capital Limited
AMBANIORG,AMBANIORGO,2024-08-01,CML63090.pdf,Ambani Organics Limited AMBANI ORGOCHEM
TRIL,TARIL,2024-08-26,CML63470.pdf,Transformers And Rectifiers (India) Limited
ORTINLAB,ORTINGLOBE,2024-09-03,CML63630.pdf,Ortin Laboratories Limited ORTIN GLOBAL LIMITED
ALLSEC,ALLDIGI,2024-09-27,CML64086.pdf,Allsec Technologies Limited Alldigi Tech Limited
TIPSINDLTD,TIPSMUSIC,2024-09-30,CML64103.pdf,TIPS Industries Limited Tips Music Limited
EASTSUGIND,KUNDANMM,2024-10-09,CML64324.pdf,Eastern Sug & Inds Kundan Minerals and
LAXMIMACH,LMW,2024-10-10,CML64357.pdf,Lakshmi Machine Works Limited LMW Limited
REVATHIEQU,RVTH,2024-11-26,CML65117.pdf,Revathi Equipment India Limited
IIFLSEC,IIFLCAPS,2024-12-03,CML65252.pdf,IIFL Securities Limited IIFL Capital Services
ACSAL,ARVINDPORT,2024-12-09,CML65380.pdf,Arvind and Company ARVIND PORT AND
GMRINFRA,GMRAIRPORT,2024-12-11,CML65429.pdf,GMR Airports Infrastructure Limited GMR Airports Limited
HBLPOWER,HBLENGINE,2024-12-23,CML65633.pdf,HBL Power Systems Limited HBL Engineering Limited
SERVOTECH,SAME,2025-01-14,CML66029.pdf,Servotech Power Systems Limited Servotech Renewable
URAVI,URAVIDEF,2025-01-16,CML66084.pdf,Uravi T and Wedge Lamps Uravi Defence and Technology
GLS,ALIVUS,2025-01-20,CML66114.pdf,Glenmark Life Sciences Alivus Life Sciences
RNAVAL,SWANDEF,2025-01-20,CML66138.pdf,Reliance Naval and Swan Defence and Heavy
TCLCONS,TICL,2025-02-07,CML66461.pdf,Tantia Constructions Twamev Construction and
EMAIN,EMAPARTNER,2025-03-11,CML66954.pdf,EMA Partners India Limited
CAREERP,CPCAP,2025-03-20,CML67110.pdf,Career Point Limited CP Capital Limited
ATFL,SUNDROP,2025-03-28,CML67261.pdf,Agro Tech Foods Limited Sundrop Brands Limited
HIL,BIRLANU,2025-04-09,CML67413.pdf,HIL Limited BirlaNu Limited
MRO-TEK,UMIYA-MRO,2025-04-15,CML67473.pdf,MRO-TEK Realty Limited UMIYA BUILDCON
SUVENPHAR,COHANCE,2025-05-19,CML67967.pdf,Suven Pharmaceuticals Limited Cohance Lifesciences Limited
AMIORG,ACUTAAS,2025-06-02,CML68201.pdf,Ami Organics Limited Acutaas Chemicals Limited
