effective_date,symbols,symbol_count
2024-03-28,"3MINDIA,ABBOTINDIA,ABCAPITAL,ABFRL,ACC,AIAENG,AJANTPHARM,ALKEM,APLAPOLLO,APOLLOTYRE,ASHOKLEY,ASTRAL,ATUL,AUBANK,AUROPHARMA,AWL,BALKRISIND,BANDHANBNK,BANKINDIA,BATAINDIA,BAYERCROP,BDL,BHARATFORG,BHEL,BIOCON,BSE,CARBORUNIV,CGPOWER,COFORGE,CONCOR,COROMANDEL,CRISIL,CUMMINSIND,DALBHARAT,DEEPAKNTR,DELHIVERY,DEVYANI,DIXON,EMAMILTD,ENDURANCE,ESCORTS,FACT,FEDERALBNK,FLUOROCHEM,FORTIS,GICRE,GLAND,GLAXO,GMRAIRPORT,GODREJIND,GODREJPROP,GRINDWELL,GUJENERGY,HDFCAMC,HINDPETRO,HINDZINC,HONAUT,IDBI,IDEA,IDFCFIRSTB,IGL,INDHOTEL,INDIANB,INDUSTOWER,IPCALAB,ISEC,JKCEMENT,JSL,JSWENERGY,JSWINFRA,JUBLFOOD,KAJARIACER,KALYANKJIL,KANSAINER,KEI,KPITTECH,KPRMILL,LALPATHLAB,LAURUSLABS,LICHSGFIN,LINDEINDIA,LLOYDSME,LODHA,LTF,LTTS,LUPIN,M&MFIN,MAHABANK,MANKIND,MANYAVAR,MAXHEALTH,MAZDOCK,METROBRAND,MFSL,MPHASIS,MRF,MSUMI,MUTHOOTFIN,NHPC,NIACL,NMDC,NYKAA,OBEROIRLTY,OFSS,OIL,PAGEIND,PATANJALI,PAYTM,PEL,PERSISTENT,PETRONET,PGHH,PHOENIXLTD,PIIND,POLICYBZR,POLYCAB,POONAWALLA,PRESTIGE,RAMCOCEM,RVNL,SAIL,SCHAEFFLER,SJVN,SKFINDIA,SOLARINDS,SONACOMS,STARHEALTH,SUMICHEM,SUNDARMFIN,SUNDRMFAST,SUNTV,SUPREMEIND,SUZLON,SYNGENE,TATACHEM,TATACOMM,TATAELXSI,TATATECH,THERMAX,TIINDIA,TIMKEN,TORNTPOWER,UBL,UNIONBANK,UNOMINDA,UPL,VOLTAS,YESBANK,ZEEL,ZFCVINDIA",150
2024-09-30,"3MINDIA,ABBOTINDIA,ABCAPITAL,ABFRL,ACC,AIAENG,AJANTPHARM,ALKEM,APLAPOLLO,APOLLOTYRE,ASHOKLEY,ASTRAL,AUBANK,AUROPHARMA,AWL,BALKRISIND,BANDHANBNK,BANKINDIA,BAYERCROP,BDL,BERGEPAINT,BHARATFORG,BHARTIHEXA,BIOCON,BSE,CARBORUNIV,CGPOWER,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CRISIL,CUMMINSIND,DALBHARAT,DEEPAKNTR,DELHIVERY,DIXON,EMAMILTD,ENDURANCE,ESCORTS,EXIDEIND,FACT,FEDERALBNK,FLUOROCHEM,FORTIS,GICRE,GLAND,GLAXO,GMRAIRPORT,GODREJIND,GODREJPROP,GRINDWELL,GUJENERGY,HDFCAMC,HINDPETRO,HINDZINC,HONAUT,HUDCO,IDBI,IDEA,IDFCFIRSTB,IGL,INDHOTEL,INDIANB,INDUSTOWER,IOB,IPCALAB,IRB,IREDA,JKCEMENT,JSL,JSWINFRA,JUBLFOOD,KALYANKJIL,KEI,KPITTECH,KPRMILL,LICHSGFIN,LINDEINDIA,LLOYDSME,LTF,LTTS,LUPIN,M&MFIN,MAHABANK,MANKIND,MARICO,MAXHEALTH,MAZDOCK,MEDANTA,METROBRAND,MFSL,MPHASIS,MRF,MRPL,MSUMI,MUTHOOTFIN,NAM-INDIA,NIACL,NLCINDIA,NMDC,NYKAA,OBEROIRLTY,OFSS,OIL,PAGEIND,PATANJALI,PAYTM,PERSISTENT,PETRONET,PGHH,PHOENIXLTD,PIIND,POLICYBZR,POLYCAB,POONAWALLA,POWERINDIA,PRESTIGE,RVNL,SAIL,SBICARD,SCHAEFFLER,SJVN,SKFINDIA,SOLARINDS,SONACOMS,SRF,STARHEALTH,SUNDARMFIN,SUNDRMFAST,SUNTV,SUPREMEIND,SUZLON,SYNGENE,TATACHEM,TATACOMM,TATAELXSI,TATAINVEST,TATATECH,THERMAX,TIINDIA,TIMKEN,TORNTPOWER,UBL,UNOMINDA,UPL,VOLTAS,YESBANK,ZFCVINDIA",150
2025-03-28,"360ONE,3MINDIA,ABBOTINDIA,ABCAPITAL,ABFRL,ACC,AIAENG,AJANTPHARM,ALKEM,APARINDS,APLAPOLLO,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,AWL,BALKRISIND,BANDHANBNK,BANKINDIA,BDL,BERGEPAINT,BHARATFORG,BHARTIHEXA,BHEL,BIOCON,BLUESTARCO,BSE,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CRISIL,CUMMINSIND,DALBHARAT,DEEPAKNTR,DIXON,EMAMILTD,ENDURANCE,ESCORTS,EXIDEIND,FEDERALBNK,FLUOROCHEM,FORTIS,GICRE,GLAND,GLAXO,GLENMARK,GMRAIRPORT,GODREJIND,GODREJPROP,GUJENERGY,GVT&D,HDFCAMC,HINDPETRO,HINDZINC,HONAUT,HUDCO,IDEA,IDFCFIRSTB,IGL,INDIANB,INDUSTOWER,IPCALAB,IRB,IRCTC,IREDA,JKCEMENT,JSL,JSWINFRA,JUBLFOOD,KALYANKJIL,KEI,KPITTECH,KPRMILL,LICHSGFIN,LINDEINDIA,LLOYDSME,LTF,LTTS,LUPIN,M&MFIN,MAHABANK,MANKIND,MARICO,MAXHEALTH,MAZDOCK,MEDANTA,MFSL,MOTILALOFS,MPHASIS,MRF,MRPL,MSUMI,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NHPC,NIACL,NLCINDIA,NMDC,NTPCGREEN,NYKAA,OBEROIRLTY,OFSS,OIL,OLAELEC,PAGEIND,PATANJALI,PAYTM,PERSISTENT,PETRONET,PHOENIXLTD,PIIND,POLICYBZR,POLYCAB,POWERINDIA,PREMIERENE,PRESTIGE,RVNL,SAIL,SBICARD,SCHAEFFLER,SJVN,SOLARINDS,SONACOMS,SRF,STARHEALTH,SUNDARMFIN,SUNTV,SUPREMEIND,SUZLON,SYNGENE,TATACOMM,TATAELXSI,TATAINVEST,TATATECH,THERMAX,TIINDIA,TORNTPOWER,UBL,UNIONBANK,UNOMINDA,UPL,VMM,VOLTAS,WAAREEENER,YESBANK",150
2025-09-30,"360ONE,3MINDIA,ABBOTINDIA,ABCAPITAL,ACC,AIAENG,AJANTPHARM,ALKEM,APARINDS,APLAPOLLO,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,AWL,BALKRISIND,BANKINDIA,BDL,BERGEPAINT,BHARATFORG,BHARTIHEXA,BHEL,BIOCON,BLUESTARCO,BSE,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CRISIL,CUMMINSIND,DABUR,DALBHARAT,DEEPAKNTR,DIXON,ENDURANCE,ESCORTS,EXIDEIND,FACT,FEDERALBNK,FLUOROCHEM,FORTIS,GICRE,GLAXO,GLENMARK,GMRAIRPORT,GODFRYPHLP,GODREJIND,GODREJPROP,GUJENERGY,GVT&D,HDFCAMC,HEROMOTOCO,HEXT,HINDPETRO,HONAUT,HUDCO,ICICIPRULI,IDBI,IDEA,IDFCFIRSTB,IGL,INDIANB,INDUSINDBK,INDUSTOWER,IOB,IPCALAB,IRB,IRCTC,IREDA,ITCHOTELS,JKCEMENT,JSL,JSWINFRA,JUBLFOOD,KALYANKJIL,KEI,KPITTECH,KPRMILL,LICHSGFIN,LINDEINDIA,LLOYDSME,LTF,LTTS,LUPIN,M&MFIN,MAHABANK,MANKIND,MARICO,MEDANTA,MFSL,MOTILALOFS,MPHASIS,MRF,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NHPC,NIACL,NLCINDIA,NMDC,NTPCGREEN,NYKAA,OBEROIRLTY,OFSS,OIL,PAGEIND,PATANJALI,PAYTM,PERSISTENT,PETRONET,PGHH,PHOENIXLTD,PIIND,POLICYBZR,POLYCAB,POWERINDIA,PREMIERENE,PRESTIGE,RVNL,SAIL,SBICARD,SCHAEFFLER,SJVN,SONACOMS,SRF,SUNDARMFIN,SUPREMEIND,SUZLON,SWIGGY,SYNGENE,TATACOMM,TATAELXSI,TATAINVEST,TATATECH,THERMAX,TIINDIA,TORNTPOWER,UBL,UCOBANK,UNIONBANK,UNOMINDA,UPL,VMM,VOLTAS,WAAREEENER,YESBANK",150
2026-03-30,"360ONE,3MINDIA,ABBOTINDIA,ABCAPITAL,ACC,AIAENG,AIIL,AJANTPHARM,ALKEM,ANTHEM,APARINDS,APLAPOLLO,APOLLOTYRE,ASHOKLEY,ASTRAL,ATGL,AUBANK,AUROPHARMA,AWL,BAJAJHFL,BALKRISIND,BANKINDIA,BDL,BERGEPAINT,BHARATFORG,BHARTIHEXA,BHEL,BIOCON,BLUESTARCO,BSE,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CRISIL,DABUR,DALBHARAT,DIXON,ENDURANCE,ESCORTS,EXIDEIND,FEDERALBNK,FLUOROCHEM,FORTIS,GICRE,GLAXO,GLENMARK,GMRAIRPORT,GODFRYPHLP,GODREJIND,GODREJPROP,GROWW,GVT&D,HAVELLS,HDBFS,HEROMOTOCO,HEXT,HINDPETRO,HONAUT,HUDCO,ICICIAMC,ICICIGI,ICICIPRULI,IDEA,IDFCFIRSTB,INDIANB,INDUSINDBK,INDUSTOWER,IPCALAB,IRCTC,IREDA,ITCHOTELS,JKCEMENT,JSL,JSWENERGY,JSWINFRA,JUBLFOOD,KALYANKJIL,KEI,KPITTECH,KPRMILL,LAURUSLABS,LENSKART,LGEINDIA,LICHSGFIN,LICI,LINDEINDIA,LLOYDSME,LTF,LTTS,LUPIN,M&MFIN,MAHABANK,MANKIND,MARICO,MCX,MEDANTA,MFSL,MOTILALOFS,MPHASIS,MRF,NAM-INDIA,NATIONALUM,NAUKRI,NHPC,NIACL,NLCINDIA,NMDC,NTPCGREEN,NYKAA,OBEROIRLTY,OFSS,OIL,PAGEIND,PATANJALI,PAYTM,PERSISTENT,PETRONET,PHOENIXLTD,PIIND,POLICYBZR,POLYCAB,POWERINDIA,PREMIERENE,PRESTIGE,RADICO,RVNL,SAIL,SBICARD,SCHAEFFLER,SJVN,SRF,SUNDARMFIN,SUPREMEIND,SUZLON,SWIGGY,TATACOMM,TATAELXSI,TATAINVEST,THERMAX,TIINDIA,TORNTPOWER,UBL,UNOMINDA,UPL,VMM,VOLTAS,WAAREEENER,YESBANK",150
2026-09-30,"360ONE,ABBOTINDIA,ABCAPITAL,AIAENG,AIIL,AJANTPHARM,ALKEM,ANTHEM,APARINDS,APLAPOLLO,ASHOKLEY,ASTERDM,ASTRAL,ATGL,AUBANK,AUROPHARMA,BAJAJHFL,BALKRISIND,BANKINDIA,BDL,BERGEPAINT,BHARATFORG,BHARTIHEXA,BHEL,BIOCON,BLUESTARCO,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CRISIL,DABUR,DALBHARAT,DIXON,EMBASSY,ENDURANCE,ESCORTS,EXIDEIND,FACT,FEDERALBNK,FLUOROCHEM,FORTIS,GICRE,GLAXO,GLENMARK,GMRAIRPORT,GODFRYPHLP,GODREJIND,GODREJPROP,GROWW,GVT&D,HAVELLS,HDBFS,HEROMOTOCO,HEXT,HINDCOPPER,HINDPETRO,HUDCO,ICICIAMC,ICICIGI,ICICIPRULI,IDFCFIRSTB,INDHOTEL,INDIANB,INDUSINDBK,INDUSTOWER,IOB,IPCALAB,IRCTC,IREDA,ITCHOTELS,JKCEMENT,JSL,JSWENERGY,JSWINFRA,JUBLFOOD,KALYANKJIL,KEI,KPRMILL,LAURUSLABS,LENSKART,LGEINDIA,LICHSGFIN,LICI,LINDEINDIA,LLOYDSME,LODHA,LTF,LTTS,LUPIN,M&MFIN,MAHABANK,MANKIND,MARICO,MCX,MEDANTA,MEESHO,MFSL,MOTILALOFS,MPHASIS,MRF,NAM-INDIA,NATIONALUM,NAUKRI,NH,NHPC,NLCINDIA,NMDC,NTPCGREEN,NYKAA,OBEROIRLTY,OFSS,OIL,PAGEIND,PATANJALI,PAYTM,PERSISTENT,PETRONET,PHOENIXLTD,PIIND,PIRAMALFIN,POLICYBZR,PREMIERENE,PRESTIGE,RADICO,RECLTD,RVNL,SAIL,SBICARD,SCHAEFFLER,SHREECEM,SRF,SUNDARMFIN,SUPREMEIND,SUZLON,SWIGGY,TATACOMM,TATAINVEST,THERMAX,TIINDIA,TORNTPOWER,UBL,UNITDSPR,UNOMINDA,UPL,VMM,VOLTAS,WAAREEENER,YESBANK",150
