effective_date,index_type,inclusions,exclusions,symbols
2008-03-14,Nifty100,,,"ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PATNI,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,SYNDIBANK,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
2008-09-10,Nifty100,,,"ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PATNI,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,SYNDIBANK,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
2009-01-12,Nifty100,,,"ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PATNI,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,SYNDIBANK,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
2009-06-17,Nifty100,,,"ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PATNI,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,SYNDIBANK,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
2009-10-20,Nifty100,,,"ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PATNI,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,SYNDIBANK,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
2010-04-08,Nifty100,,,"ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PATNI,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,SYNDIBANK,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
2010-10-01,Nifty100,,,"ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PATNI,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,SYNDIBANK,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
2010-10-07,Nifty100,"EXIDEIND,TATACHEM","ZEEL,RNRL","ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,EXIDEIND,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PATNI,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,SYNDIBANK,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
2011-03-25,Nifty100,,,"ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,EXIDEIND,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PATNI,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,SYNDIBANK,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
2011-10-10,Nifty100,"BOSCHLTD,DABUR,IDEA","PATNI,PUNJLLOYD,SYNDIBANK","ABB,ACC,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ARICENT,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BONGAIGAON,BOSCHLTD,BPCL,CANBK,CHENNPETRO,CIPLA,CORPBANK,CUMMINSIND,DABUR,DRREDDY,EXIDEIND,GAIL,GESHIP,GLAXO,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCOP,HINDALCO,HINDPETRO,HINDUNILVR,IBP,ICICIBANK,IDBI,IDEA,IFCI,INFY,INGERRAND,INGVYSYABANK,IOB,IPCL,ITC,JETAIRWAYS,JPASSOCIAT,KOTAKBANK,KRL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOSERBAER,MPHASIS,MTNL,NATIONALUM,NIRMA,OFSS,ONGC,ORIENTBANK,PFIZER,PIRAMALENT,PNB,POLARIS,PTL,RANBAXY,RAYMOND,REL,RELIANCE,SAIL,SANOFI,SATYAMCOMP,SBIN,SCI,SIEMENS,STERLITE,SUNPHARMA,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TATCOM,TATCONSUM,TCS,TTML,TVSMOTOR,UNIONBANK,VIJAYABANK,WIPRO,WOCKPHARMA,ZEETELE,ZYDUSLIFE"
